replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,218,42184,0.05,-1.0,86,21.37,131.97,0.431429,42184,,,,,,0.328854,0.598485,5.929242
uniform,1,219,42441,0.05,1.0,257,131.11,25.92,0.408675,42441,,,,,,0.322906,0.567885,5.755878
uniform,1,220,42572,0.05,1.0,131,131.74,29.15,0.416003,42572,,,,,,0.32238,0.568497,5.789219
uniform,1,221,42715,0.05,1.0,143,131.68,26.49,0.39304,42715,,,,,,0.305124,0.541176,5.63242
uniform,1,222,42888,0.05,1.0,173,131.53,26.94,0.427007,42888,,,,,,0.32059,0.574646,5.818801
uniform,1,223,43188,0.05,,300,25.5,26.5,0.426684,43188,,,,,,0.333827,0.594409,5.725051
uniform,1,224,43325,0.05,1.0,137,131.71,29.52,0.514649,43325,,,,,,0.420953,0.677448,6.428532
uniform,1,225,43492,0.05,1.0,167,131.56,27.17,0.415685,43492,,,,,,0.328915,0.573458,5.671979
uniform,1,226,43620,0.05,-1.0,128,27.36,131.76,0.423123,43620,,,,,,0.312902,0.580653,5.706478
uniform,1,227,43805,0.05,1.0,185,131.47,28.68,0.437515,43805,,,,,,0.327899,0.590083,5.794258
uniform,1,228,43911,0.05,-1.0,106,28.87,131.87,0.391172,43911,,,,,,0.310807,0.539743,5.544714
uniform,1,229,44068,0.05,1.0,157,131.61,24.62,0.391623,44068,,,,,,0.255538,0.563863,5.292172
uniform,1,230,44173,0.05,1.0,105,131.87,25.28,0.313356,44173,,,,,,0.169628,0.488938,4.6645
uniform,1,231,44311,0.05,-1.0,138,29.31,131.71,0.482221,44311,,,,,,0.35326,0.651259,6.022612
uniform,1,232,44489,0.05,-1.0,178,24.91,131.51,0.393904,44489,,,,,,0.280181,0.556179,5.406492
uniform,1,233,44659,0.05,-1.0,170,29.35,131.55,0.422415,44659,,,,,,0.30672,0.58059,5.6127
