replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,2,27,7017,0.05,-1.0,192,29.04,131.44,0.353751,7017,,,,,,0.206441,0.616563,4.436215
uniform,2,28,7126,0.05,1.0,109,131.85,29.66,0.430716,7126,,,,,,0.308719,0.678611,5.300586
uniform,2,29,7300,0.05,-1.0,174,26.53,131.53,0.385627,7300,,,,,,0.225248,0.660873,4.569177
uniform,2,30,7573,0.05,1.0,273,131.03,28.64,0.385056,7573,,,,,,0.244765,0.644879,4.778592
uniform,2,31,7891,0.05,-1.0,318,28.01,130.81,0.397885,7891,,,,,,0.249575,0.661624,4.785919
uniform,2,32,8122,0.05,1.0,231,131.24,28.65,0.444884,8122,,,,,,0.305838,0.708864,5.200516
uniform,2,33,8304,0.05,-1.0,182,21.29,131.49,0.325938,8304,,,,,,0.188587,0.586046,4.092976
uniform,2,34,8502,0.05,-1.0,198,26.61,131.41,0.445099,8502,,,,,,0.304171,0.711687,5.090974
uniform,2,35,8689,0.05,1.0,187,131.46,26.07,0.479015,8689,,,,,,0.316147,0.749391,5.428745
uniform,2,36,9005,0.05,-1.0,316,23.02,130.82,0.438299,9005,,,,,,0.286871,0.701961,5.139714
uniform,2,37,9244,0.05,1.0,239,131.2,28.61,0.447036,9244,,,,,,0.304941,0.70849,5.249647
uniform,2,38,9511,0.05,1.0,267,131.06,28.47,0.423413,9511,,,,,,0.263838,0.688259,4.940578
uniform,2,39,9710,0.05,1.0,199,131.4,26.21,0.424205,9710,,,,,,0.279548,0.687516,5.02658
uniform,2,40,9947,0.05,1.0,237,131.21,26.02,0.376312,9947,,,,,,0.226794,0.633241,4.631818
